,Packing Type,Height,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
101,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,23.3,146,7.64,1.95,29.2,0.0944,388,145,0.67,6.88,43,1.62,Tsai,,
102,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,23.2,343,7.62,1.95,29.1,0.0937,388,146,0.66,10.32,85,2.43,Tsai,,
103,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,1,23.4,493,7.7,1.94,29.2,0.0898,388,137,0.72,13.62,136,3.21,Tsai,,
104,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1,23.3,87,7.68,1.93,29.2,0.0878,386,173,0.57,1.95,5,0.46,Tsai,,
105,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,1.5,23.6,210,7.79,1.93,29.4,0.0858,386,250,0.47,1.38,3,0.33,Tsai,,
106,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1.5,23.5,258,7.76,1.92,29.3,0.0838,386,214,0.65,3.31,13,0.78,Tsai,,
107,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1.5,23.3,224,7.69,1.91,29.2,0.0818,386,227,0.59,1.97,6,0.46,Tsai,,
108,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1.5,22.9,338,7.48,1.87,28.8,0.0798,386,207,0.71,6.57,42,1.55,Tsai,,
109,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,0.6,22.3,35,7.23,1.84,28.4,0.0782,388,112,0.58,1.3,3,0.31,Tsai,,
110,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,0.6,22.3,36,7.2,1.83,28.3,0.077,388,106,0.61,1.94,6,0.46,Tsai,,
111,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,0.6,22.1,41,7.13,1.82,28.2,0.0759,388,94,0.68,3.27,13,0.77,Tsai,,
112,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1,20.1,83,6.25,1.81,26.6,0.1061,391,204,0.45,1.38,3,0.33,Tsai,,
113,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1,20.2,88,6.32,1.81,26.8,0.1042,391,187,0.51,2.39,7,0.56,Tsai,,
114,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,20.4,92,6.37,1.81,26.9,0.1022,391,177,0.55,3.32,13,0.78,Tsai,,
115,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1,20.5,101,6.41,1.8,26.9,0.0978,391,159,0.64,6.45,42,1.52,Tsai,,
116,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1,20.4,114,6.38,1.79,26.9,0.0964,391,155,0.66,9.56,82,2.25,Tsai,,
117,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,1,20.6,200,6.47,1.8,27,0.0941,391,149,0.69,12.66,132,2.98,Tsai,,
118,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,31,1,20.6,414,6.5,1.78,27.1,0.0884,391,155,0.68,15.6,190,3.68,Tsai,,
119,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1.5,20.9,205,6.61,1.79,27.3,0.0875,391,258,0.47,1.24,3,0.29,Tsai,,
120,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,1.5,20.9,222,6.61,1.79,27.3,0.0865,390,247,0.51,2.19,7,0.52,Tsai,,
121,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1.5,20.8,241,6.56,1.78,27.2,0.0856,390,239,0.56,3.15,13,0.74,Tsai,,
122,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,1.5,20.3,303,6.39,1.75,26.8,0.0845,389,223,0.64,6.06,41,1.43,Tsai,,
123,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,1.5,20.3,410,6.37,1.75,26.8,0.0836,388,219,0.67,9.09,80,2.14,Tsai,,
124,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,0.6,19,34,5.86,1.67,25.8,0.0805,388,142,0.49,1.18,3,0.28,Tsai,,
125,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,4,0.6,18.8,36,5.8,1.66,25.7,0.0786,388,131,0.54,2.15,7,0.51,Tsai,,
126,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,0.6,18.7,37,5.75,1.65,25.6,0.0767,388,125,0.57,3,13,0.71,Tsai,,
127,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,0.6,18.4,41,5.66,1.64,25.4,0.0763,388,110,0.64,5.95,41,1.4,Tsai,,
128,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,0.6,18.3,47,5.63,1.62,25.3,0.0733,388,106,0.68,8.92,80,2.1,Tsai,,
129,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,0.6,18.2,51,5.57,1.61,25.2,0.0704,388,101,0.72,11.78,129,2.78,Tsai,,
130,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,31,0.6,18,218,5.53,1.59,25.1,0.0681,390,114,0.67,14.68,187,3.46,Tsai,,
131,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,24,0.6,25,58,8.5,2.04,30.6,0.0935,393,67,0.7,14.47,138,3.41,Tsai,,
132,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,18,0.6,25.3,47,8.65,2.05,30.8,0.0922,392,72,0.67,10.89,86,2.57,Tsai,,
133,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,12,0.6,25.6,41,8.79,2.06,31,0.0897,392,74,0.67,7.3,44,1.72,Tsai,,
134,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,0.6,25.7,37,8.89,2.06,31.2,0.0886,392,84,0.62,3.73,14,0.88,Tsai,,
135,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,3,0.6,25.6,33,8.85,2.05,31.1,0.0876,392,107,0.53,1.64,4,0.39,Tsai,,
136,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,2,1,30.7,81,12,2.39,35.6,0.1028,388,174,0.45,1.54,3,0.36,Tsai,,
137,M500Y,2.8,500,45,8.1,9.6,6.53,516.8453,,516.85,6,1,30.6,88,11.9,2.37,35.4,0.1,388,147,0.55,3.64,13,0.86,Tsai,,
