,Packing Type,Height,Pack. Config,System,Column Diameter,a wall,specific wall area,specific area,Corrugation angle,"S, Channel Side","B, Channel Base","h, Crimp height",packing element height,void fraction,LP/A,L,uG,T Corr,DelP,k OH E-3,DCO2 E9,HCO2 E-5,[OH-],CO2 in,CO2 out,Fractional Area,ReL,WeL E4,FrL,Who?,Glycerol,[alk]
98,M250Y,3.1,,,,,,250.0,45.0,0.16,0.024,0.011,242.4242,,242424.24,49.0,0.6,13.8,726.0,4.15,1.36,21.9,0.072,388.0,160.0,0.96,4.1,1067.0,0.97,Tsai,,
99,M500Y,2.8,Config 2,Baseline,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,2.0,1.0,23.3,82.0,7.66,1.97,29.2,0.0991,388.0,180.0,0.51,1.42,3.0,0.33,Tsai,,
100,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,6.0,1.0,23.4,104.0,7.7,1.96,29.3,0.0951,388.0,150.0,0.65,3.45,13.0,0.81,Tsai,,
101,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,12.0,1.0,23.3,146.0,7.64,1.95,29.2,0.0944,388.0,145.0,0.67,6.88,43.0,1.62,Tsai,,
102,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,18.0,1.0,23.2,343.0,7.62,1.95,29.1,0.0937,388.0,146.0,0.66,10.32,85.0,2.43,Tsai,,
103,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,24.0,1.0,23.4,493.0,7.7,1.94,29.2,0.0898,388.0,137.0,0.72,13.62,136.0,3.21,Tsai,,
104,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,4.0,1.0,23.3,87.0,7.68,1.93,29.2,0.0878,386.0,173.0,0.57,1.95,5.0,0.46,Tsai,,
105,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,3.0,1.5,23.6,210.0,7.79,1.93,29.4,0.0858,386.0,250.0,0.47,1.38,3.0,0.33,Tsai,,
106,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,6.0,1.5,23.5,258.0,7.76,1.92,29.3,0.0838,386.0,214.0,0.65,3.31,13.0,0.78,Tsai,,
107,M500Y,2.8,,,,,,500.0,45.0,8.1,9.6,6.53,516.8453,,516.85,4.0,1.5,23.3,224.0,7.69,1.91,29.2,0.0818,386.0,227.0,0.59,1.97,6.0,0.46,Tsai,,
